Páginas principais,Cliques,Impressões,CTR,Posição
https://sirius.roilabs.com.br/solucoes/cidade/crm-para-empresas-em-brasilia,0,2,0%,6.5
https://sirius.roilabs.com.br/ferramentas/calculadora-roi-representantes,0,2,0%,8
https://sirius.roilabs.com.br/solucoes/cidade/crm-para-empresas-em-curitiba,0,2,0%,11.5
https://sirius.roilabs.com.br/help/analytics/forecasting-vendas,0,1,0%,1
https://sirius.roilabs.com.br/ferramentas,0,1,0%,3
https://sirius.roilabs.com.br/help/equipe/configurar-perfil,0,1,0%,5
https://sirius.roilabs.com.br/help/pipeline-negocios/tags-custom-fields,0,1,0%,6
https://sirius.roilabs.com.br/ferramentas/calculadora-roi-consultores,0,1,0%,7
https://sirius.roilabs.com.br/help/analytics/analytics-basico,0,1,0%,7
https://sirius.roilabs.com.br/ferramentas/calculadora-roi-agencias,0,1,0%,9
